strategy,feature,period,bucket,n_events,n_tp1_first,n_stop_first,n_neither,n_ambiguous,n_resolved_non_ambiguous,tp1_first_rate,stop_first_rate,net_path_rate,median_mfe_signal_r,median_mae_signal_r,median_time_to_first_path
BRF2-001,cross_sectional_dispersion_24h,Discovery,LOW,96,42,49,5,0,91,0.46153846153846156,0.5384615384615384,-0.07692307692307693,1.468362831858407,-1.6578014184397163,405.0
BRF2-001,cross_sectional_dispersion_24h,Discovery,MID,93,42,44,7,0,86,0.4883720930232558,0.5116279069767442,-0.023255813953488372,1.625,-1.4464285714285714,195.0
BRF2-001,cross_sectional_dispersion_24h,Discovery,HIGH,109,61,30,18,0,91,0.6703296703296703,0.32967032967032966,0.34065934065934067,1.6777251184834123,-0.9148936170212764,405.0
BRF2-001,cross_sectional_dispersion_24h,Holdout,LOW,48,26,20,2,0,46,0.5652173913043478,0.43478260869565216,0.13043478260869565,2.3713725490196076,-3.1154205607476637,202.5
BRF2-001,cross_sectional_dispersion_24h,Holdout,MID,111,45,60,6,0,105,0.42857142857142855,0.5714285714285714,-0.14285714285714285,1.3333333333333333,-2.65,390.0
BRF2-001,cross_sectional_dispersion_24h,Holdout,HIGH,156,85,54,17,0,139,0.6115107913669064,0.38848920863309355,0.22302158273381295,2.6892902754971724,-1.0471904113320623,210.0
BRF2-001,cross_sectional_dispersion_24h,Full,LOW,144,68,69,7,0,137,0.49635036496350365,0.5036496350364964,-0.0072992700729927005,1.8452380952380953,-1.9092068645640075,360.0
BRF2-001,cross_sectional_dispersion_24h,Full,MID,204,87,104,13,0,191,0.45549738219895286,0.5445026178010471,-0.08900523560209424,1.4159665099882492,-2.099023331524688,300.0
BRF2-001,cross_sectional_dispersion_24h,Full,HIGH,265,146,84,35,0,230,0.6347826086956522,0.3652173913043478,0.26956521739130435,2.0416666666666665,-1.0,270.0
BRF2-001,avg_cross_asset_corr_24h,Discovery,LOW,122,56,52,14,0,108,0.5185185185185185,0.48148148148148145,0.037037037037037035,1.2982723577235773,-1.4331590370955012,442.5
BRF2-001,avg_cross_asset_corr_24h,Discovery,MID,85,39,37,9,0,76,0.5131578947368421,0.4868421052631579,0.02631578947368421,1.2894736842105263,-1.0849056603773584,337.5
BRF2-001,avg_cross_asset_corr_24h,Discovery,HIGH,91,50,34,7,0,84,0.5952380952380952,0.40476190476190477,0.19047619047619047,2.804878048780488,-1.2666666666666666,262.5
BRF2-001,avg_cross_asset_corr_24h,Holdout,LOW,17,7,10,0,0,17,0.4117647058823529,0.5882352941176471,-0.17647058823529413,0.9748427672955974,-16.666666666666664,120.0
BRF2-001,avg_cross_asset_corr_24h,Holdout,MID,20,4,15,1,0,19,0.21052631578947367,0.7894736842105263,-0.5789473684210527,0.6603813559322034,-7.458974358974359,690.0
BRF2-001,avg_cross_asset_corr_24h,Holdout,HIGH,278,145,109,24,0,254,0.5708661417322834,0.42913385826771655,0.14173228346456693,2.251552795031056,-1.5144927536231885,262.5
BRF2-001,avg_cross_asset_corr_24h,Full,LOW,139,63,62,14,0,125,0.504,0.496,0.008,1.2903225806451613,-1.5744680851063828,405.0
BRF2-001,avg_cross_asset_corr_24h,Full,MID,105,43,52,10,0,95,0.45263157894736844,0.5473684210526316,-0.09473684210526316,0.9666666666666666,-1.3969072164948453,375.0
BRF2-001,avg_cross_asset_corr_24h,Full,HIGH,369,195,143,31,0,338,0.5769230769230769,0.4230769230769231,0.15384615384615385,2.367816091954023,-1.4391891891891893,262.5
BRF2-001,market_breadth_24h,Discovery,LOW,132,52,60,20,0,112,0.4642857142857143,0.5357142857142857,-0.07142857142857142,1.1265966659450095,-1.5,405.0
BRF2-001,market_breadth_24h,Discovery,MID,80,33,41,6,0,74,0.44594594594594594,0.5540540540540541,-0.10810810810810811,1.559158374093439,-1.4321669736034375,270.0
BRF2-001,market_breadth_24h,Discovery,HIGH,86,60,22,4,0,82,0.7317073170731707,0.2682926829268293,0.4634146341463415,2.170938215102975,-0.8366370471633628,292.5
BRF2-001,market_breadth_24h,Holdout,LOW,135,64,50,21,0,114,0.5614035087719298,0.43859649122807015,0.12280701754385964,1.411504424778761,-1.5289855072463767,382.5
BRF2-001,market_breadth_24h,Holdout,MID,68,34,33,1,0,67,0.5074626865671642,0.4925373134328358,0.014925373134328358,1.8785714285714286,-2.5021929824561404,315.0
BRF2-001,market_breadth_24h,Holdout,HIGH,112,58,51,3,0,109,0.5321100917431193,0.46788990825688076,0.06422018348623854,3.566190785204413,-1.4198347107438016,165.0
BRF2-001,market_breadth_24h,Full,LOW,267,116,110,41,0,226,0.5132743362831859,0.48672566371681414,0.02654867256637168,1.2277227722772277,-1.5238095238095237,405.0
BRF2-001,market_breadth_24h,Full,MID,148,67,74,7,0,141,0.475177304964539,0.524822695035461,-0.04964539007092199,1.8297101449275361,-1.9350171886936596,300.0
BRF2-001,market_breadth_24h,Full,HIGH,198,118,73,7,0,191,0.6178010471204188,0.38219895287958117,0.2356020942408377,2.857357057177129,-1.194430443548387,180.0
