strategy,feature,discovery_high_minus_low_net_path_rate,holdout_high_minus_low_net_path_rate,holdout_low_resolved_n,holdout_high_resolved_n,same_sign_loso_count,valid_loso_count,same_sign_ratio,max_single_symbol_effect_contribution,ambiguity_optimistic_effect,ambiguity_pessimistic_effect,ambiguity_direction_stable,classification,reason
BRF2-001,cross_sectional_dispersion_24h,0.4175824175824176,0.0925868001251173,46,139,21,21,1.0,0.9146652334152331,0.0925868001251173,0.0925868001251173,True,INCONCLUSIVE,one_or_more_support_gates_not_met
BRF2-001,avg_cross_asset_corr_24h,0.15343915343915343,0.31820287169986106,17,254,21,21,1.0,0.5116540452895546,0.31820287169986106,0.31820287169986106,True,SUPPORTED_FOR_SHADOW,all_frozen_gates_pass
BRF2-001,market_breadth_24h,0.5348432055749129,-0.05858683405762111,114,109,20,21,0.9523809523809523,1.360424643230073,-0.05858683405762111,-0.05858683405762111,True,REJECTED,direction_or_loso_instability
BRF2-001,market_rv_24h,0.15439170758319695,0.558553696708041,34,218,21,21,1.0,0.23568438003220613,0.558553696708041,0.558553696708041,True,SUPPORTED_FOR_SHADOW,all_frozen_gates_pass
BRF2-001,market_return_24h,0.533713200379867,-0.05840455840455841,130,108,20,21,0.9523809523809523,1.6159381791837721,-0.05840455840455841,-0.05840455840455841,True,REJECTED,direction_or_loso_instability
CPM-RO-001,cross_sectional_dispersion_24h,-0.1494949494949495,0.10157440325038092,55,179,24,24,1.0,0.9339861558658545,0.10157440325038092,0.10157440325038092,True,REJECTED,direction_or_loso_instability
CPM-RO-001,avg_cross_asset_corr_24h,-0.33087874324987726,-0.38641686182669793,28,244,24,24,1.0,0.31249654300501745,-0.38641686182669793,-0.38641686182669793,True,SUPPORTED_FOR_SHADOW,all_frozen_gates_pass
CPM-RO-001,market_breadth_24h,-0.5383703703703704,0.3065040650406504,20,246,24,24,1.0,0.511296076099881,0.3065040650406504,0.3065040650406504,True,REJECTED,direction_or_loso_instability
CPM-RO-001,market_rv_24h,-0.05175983436853002,0.07459412022817025,53,215,24,24,1.0,0.9150518345952241,0.07459412022817025,0.07459412022817025,True,REJECTED,direction_or_loso_instability
CPM-RO-001,market_return_24h,-0.31160572337042924,-0.02023809523809522,28,240,16,24,0.6666666666666666,5.769877305451968,-0.02023809523809522,-0.02023809523809522,True,INCONCLUSIVE,one_or_more_support_gates_not_met
CPM-RO-001,directional_efficiency_24h,0.24843373493975907,0.46618962432915917,65,172,24,24,1.0,0.16561201291649177,0.46618962432915917,0.46618962432915917,True,SUPPORTED_FOR_SHADOW,all_frozen_gates_pass
MI-001,cross_sectional_dispersion_24h,-0.75,-0.4583333333333333,3,32,19,20,0.95,1.3929618768328447,-0.4583333333333333,-0.4583333333333333,True,INCONCLUSIVE,one_or_more_support_gates_not_met
MI-001,avg_cross_asset_corr_24h,0.2909090909090909,-1.0555555555555556,2,36,20,20,1.0,0.15063520871143377,-1.0555555555555556,-1.0555555555555556,True,REJECTED,direction_or_loso_instability
MI-001,market_breadth_24h,-0.2727272727272727,0.16129032258064516,2,31,19,20,0.95,6.4399999999999995,0.16129032258064516,0.16129032258064516,True,REJECTED,direction_or_loso_instability
MI-001,market_rv_24h,0.3111111111111111,-1.0285714285714285,2,35,20,20,1.0,0.16666666666666652,-1.0285714285714285,-1.0285714285714285,True,REJECTED,direction_or_loso_instability
MI-001,market_return_24h,-0.38461538461538464,0.4583333333333333,3,32,20,20,1.0,1.5337243401759535,0.4583333333333333,0.4583333333333333,True,REJECTED,direction_or_loso_instability
MPG-001,cross_sectional_dispersion_24h,-0.5396825396825397,0.12820512820512825,3,26,18,19,0.9473684210526315,5.199999999999998,0.12820512820512825,0.12820512820512825,True,REJECTED,direction_or_loso_instability
MPG-001,avg_cross_asset_corr_24h,0.1090909090909091,,0,31,0,0,,,,,False,INCONCLUSIVE,one_or_more_support_gates_not_met
MPG-001,market_breadth_24h,-0.2,1.6521739130434783,2,23,19,19,1.0,0.04545454545454546,1.6521739130434783,1.6521739130434783,True,REJECTED,direction_or_loso_instability
MPG-001,market_rv_24h,0.606060606060606,0.07407407407407407,3,27,18,19,0.9473684210526315,18.125,0.07407407407407407,0.07407407407407407,True,INCONCLUSIVE,one_or_more_support_gates_not_met
MPG-001,market_return_24h,0.09090909090909091,0.8148148148148148,3,27,19,19,1.0,0.840909090909091,0.8148148148148148,0.8148148148148148,True,INCONCLUSIVE,one_or_more_support_gates_not_met
