ticket_reference_digest,strategy,symbol,signal_path_label,actual_entry_path_label,execution_anchor_delta_signal_r
sha256:307c3a8d7bc028c11df393d780a951cd4a212f127d0d69cfa66ef7d343d8ed48,CPM-RO-001,BNBUSDT,SIGNAL_STOP_FIRST,SIGNAL_STOP_FIRST,-0.0006963788300835655
sha256:b3f30f4c2363e84d8e389ac9b36978869942d5c9962c8f0bd126ae5ccad773e1,CPM-RO-001,DOGEUSDT,SIGNAL_STOP_FIRST,SIGNAL_STOP_FIRST,-0.07142857142857142
sha256:6d101fd313020739d90cde875d265079547610affdd854c2b751a830d26f6645,CPM-RO-001,BNBUSDT,SIGNAL_TP1_FIRST,SIGNAL_TP1_FIRST,0.012924071082390954
sha256:82b6e294077c3da134f09c7fec834ca80aa93aa94117b1395d881b042e79a2a6,BRF2-001,XRPUSDT,NEITHER,SIGNAL_TP1_FIRST,-0.03773584905660377
sha256:0f25ce5e999d80b50f0a227588de96572c2da5a411159af64a9404148933fa50,CPM-RO-001,BTCUSDT,SIGNAL_TP1_FIRST,SIGNAL_TP1_FIRST,0.08165019338203695
sha256:37c555b7f5685178744eb5589ad2b72019529ea38525d78f807968e281cf4765,CPM-RO-001,BTCUSDT,NEITHER,NEITHER,0.01727566492667164
sha256:d6bee4941b81131ef739042e1b66f1fce3e737f044b92c0033f498e86a1a269b,BRF2-001,SOLUSDT,SIGNAL_STOP_FIRST,SIGNAL_STOP_FIRST,0.1346153846153846
sha256:8abdfb92314094978d4dac7ae05e936352ebc4257733514dbabd32679bdbf465,BRF2-001,ADAUSDT,SIGNAL_TP1_FIRST,SIGNAL_TP1_FIRST,-0.03333333333333333
sha256:81ba7e4cf3900c2a0a357e663811f161a23985c6f0817cc3fee910aea0613f62,CPM-RO-001,SOLUSDT,SIGNAL_STOP_FIRST,SIGNAL_STOP_FIRST,0.014285714285714285
sha256:e69d4b8cd739dffbab83a5ba88986603443984619c084f934026079df79295a2,BRF2-001,ADAUSDT,SIGNAL_TP1_FIRST,SIGNAL_TP1_FIRST,0.0
