strategy,feature,period,cluster,effect,low_resolved_n,high_resolved_n,low_unique_context_hours,high_unique_context_hours
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-07-31,,44,0,14,0
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-01,,5,0,4,0
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-02,,0,5,0,5
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-03,1.5,3,8,1,5
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-04,,0,8,0,4
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-05,1.3333333333333333,2,6,1,4
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-06,,0,3,0,3
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-07,,20,0,8,0
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-08,,16,0,10,0
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-09,,4,0,4,0
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-10,,0,32,0,14
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-11,-0.3333333333333333,3,6,3,4
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-12,,0,5,0,4
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-13,,0,9,0,5
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-14,1.25,8,2,4,2
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-15,,3,0,1,0
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-16,,7,0,5,0
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-17,,0,16,0,9
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-18,,0,10,0,5
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-19,-0.19999999999999996,10,5,5,4
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-20,,0,3,0,2
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-25,,0,20,0,11
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-26,,0,56,0,14
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-27,,0,62,0,15
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-28,,0,35,0,11
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-29,,0,28,0,12
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-30,,0,19,0,11
BRF2-001,market_rv_24h,Discovery,2026-07-31,,20,0,6,0
BRF2-001,market_rv_24h,Discovery,2026-08-01,,7,0,5,0
BRF2-001,market_rv_24h,Discovery,2026-08-02,-1.6,3,5,1,5
BRF2-001,market_rv_24h,Discovery,2026-08-03,,9,0,6,0
BRF2-001,market_rv_24h,Discovery,2026-08-04,,0,5,0,2
BRF2-001,market_rv_24h,Discovery,2026-08-05,,2,0,1,0
BRF2-001,market_rv_24h,Discovery,2026-08-06,-0.4,2,15,2,8
BRF2-001,market_rv_24h,Discovery,2026-08-07,-0.04999999999999999,8,5,5,3
BRF2-001,market_rv_24h,Discovery,2026-08-08,0.6666666666666667,1,9,1,5
BRF2-001,market_rv_24h,Discovery,2026-08-09,,5,0,5,0
BRF2-001,market_rv_24h,Discovery,2026-08-10,0.9523809523809523,21,5,10,2
BRF2-001,market_rv_24h,Discovery,2026-08-11,-0.4,6,10,5,7
BRF2-001,market_rv_24h,Discovery,2026-08-12,,0,9,0,7
BRF2-001,market_rv_24h,Discovery,2026-08-13,,0,10,0,6
BRF2-001,market_rv_24h,Discovery,2026-08-14,1.25,8,1,4,1
BRF2-001,market_rv_24h,Discovery,2026-08-15,0.0,2,4,2,4
BRF2-001,market_rv_24h,Holdout,2026-08-16,,9,0,7,0
BRF2-001,market_rv_24h,Holdout,2026-08-17,,5,0,3,0
BRF2-001,market_rv_24h,Holdout,2026-08-18,,0,6,0,4
BRF2-001,market_rv_24h,Holdout,2026-08-19,-0.3142857142857143,10,7,5,5
BRF2-001,market_rv_24h,Holdout,2026-08-20,,0,3,0,2
BRF2-001,market_rv_24h,Holdout,2026-08-25,,0,20,0,11
BRF2-001,market_rv_24h,Holdout,2026-08-26,,0,56,0,14
BRF2-001,market_rv_24h,Holdout,2026-08-27,,0,62,0,15
BRF2-001,market_rv_24h,Holdout,2026-08-28,,0,35,0,11
BRF2-001,market_rv_24h,Holdout,2026-08-29,,0,21,0,8
BRF2-001,market_rv_24h,Holdout,2026-08-30,1.6,10,8,6,4
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-07-31,,3,0,2,0
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-01,,9,0,6,0
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-02,,0,12,0,10
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-03,-0.7142857142857143,3,14,1,6
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-04,,0,21,0,9
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-05,0.5714285714285714,1,7,1,4
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-06,,0,6,0,5
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-07,,13,0,6,0
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-08,,26,0,12,0
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-09,,29,0,11,0
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-10,,0,15,0,7
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-11,-1.5555555555555556,9,3,6,2
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-12,,0,6,0,4
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-13,,0,20,0,11
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-14,-2.0,3,1,2,1
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-15,,1,0,1,0
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-16,,3,0,2,0
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-17,,0,27,0,11
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-18,,0,1,0,1
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-19,0.0910344827586207,25,29,10,4
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-20,,0,30,0,11
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-21,,0,47,0,15
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-22,,0,6,0,2
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-23,,0,24,0,8
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-24,,0,19,0,6
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-25,,0,19,0,6
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-26,,0,1,0,1
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-27,,0,13,0,6
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-28,,0,8,0,6
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-29,,0,5,0,4
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-30,,0,15,0,9
CPM-RO-001,directional_efficiency_24h,Discovery,2026-07-31,,0,1,0,1
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-01,0.4,5,5,4,5
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-02,0.2,2,15,2,8
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-03,-0.39999999999999997,10,5,6,4
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-04,0.6,10,12,7,8
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-05,0.6666666666666666,6,3,6,3
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-06,-1.0,6,2,6,2
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-07,0.25,8,4,5,3
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-08,-0.15555555555555556,9,10,6,8
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-09,-0.46464646464646464,11,9,5,7
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-10,1.6,5,1,4,1
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-11,1.0476190476190477,6,7,6,6
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-12,1.0,5,2,5,2
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-13,1.5,12,2,8,2
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-14,-1.0,2,1,2,1
