strategy,feature,period,cluster,effect,low_resolved_n,high_resolved_n,low_unique_context_hours,high_unique_context_hours
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-07-27,-0.9469387755102041,49,5,18,5
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-03,0.48000000000000004,45,25,24,16
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-10,0.5079365079365079,14,54,8,29
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-10,,7,0,5,0
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-17,0.3411764705882353,10,34,5,20
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-24,,0,220,0,74
BRF2-001,market_rv_24h,Discovery,2026-07-27,-1.1333333333333333,30,5,12,5
BRF2-001,market_rv_24h,Discovery,2026-08-03,0.420479302832244,27,34,20,18
BRF2-001,market_rv_24h,Discovery,2026-08-10,0.4088704088704089,37,39,21,27
BRF2-001,market_rv_24h,Holdout,2026-08-10,,9,0,7,0
BRF2-001,market_rv_24h,Holdout,2026-08-17,0.09999999999999998,15,16,8,11
BRF2-001,market_rv_24h,Holdout,2026-08-24,0.7980198019801981,10,202,6,63
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-07-27,0.0,12,12,8,10
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-03,-0.027777777777777776,72,48,31,24
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-10,-1.1384615384615384,13,45,9,25
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-10,,3,0,2,0
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-17,-0.1936585365853658,25,164,10,52
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-24,,0,80,0,38
CPM-RO-001,directional_efficiency_24h,Discovery,2026-07-27,-0.09523809523809523,7,21,6,14
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-03,-0.022222222222222223,60,45,41,35
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-10,0.6916221033868093,33,17,28,15
CPM-RO-001,directional_efficiency_24h,Holdout,2026-08-10,,1,0,1,0
CPM-RO-001,directional_efficiency_24h,Holdout,2026-08-17,0.4317923763179237,45,137,26,53
CPM-RO-001,directional_efficiency_24h,Holdout,2026-08-24,0.10225563909774432,19,35,13,24
