strategy,feature,period,excluded_cluster,remaining_effect
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-07-31,0.37797619047619047
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-01,0.16134997688395747
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-02,0.20346929207688702
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-03,0.09122807017543859
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-04,0.17348927875243664
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-05,0.12288340590227383
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-06,0.14814814814814814
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-07,0.09956709956709955
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-08,0.14699792960662525
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-09,0.152014652014652
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-10,0.19373219373219375
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-11,0.17655677655677654
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-12,0.1275199249882794
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-13,0.1362962962962963
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-14,0.11073170731707319
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-15,0.1238095238095238
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-16,0.5417322834645669
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-17,0.31932773109243695
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-18,0.3240115718418515
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-19,0.013769363166953541
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-20,0.3238809468010312
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-25,0.2704876822523882
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-26,0.33808674985145576
