strategy,feature,period,excluded_cluster,remaining_effect
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-07-27,0.46084531216477154
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-03,-0.053806833467850396
BRF2-001,avg_cross_asset_corr_24h,Discovery,2026-08-10,0.04822695035460993
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-10,0.5417322834645669
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-17,0.02987012987012988
BRF2-001,avg_cross_asset_corr_24h,Holdout,2026-08-24,0.11764705882352942
BRF2-001,market_rv_24h,Discovery,2026-07-27,0.4049657534246575
BRF2-001,market_rv_24h,Discovery,2026-08-03,0.06445047489823608
BRF2-001,market_rv_24h,Discovery,2026-08-10,-0.06477732793522267
BRF2-001,market_rv_24h,Holdout,2026-08-10,0.7467889908256881
BRF2-001,market_rv_24h,Holdout,2026-08-17,0.4611776967170401
BRF2-001,market_rv_24h,Holdout,2026-08-24,-0.16666666666666669
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-07-27,-0.3686274509803921
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-03,-0.888421052631579
CPM-RO-001,avg_cross_asset_corr_24h,Discovery,2026-08-10,0.009523809523809525
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-10,-0.5121311475409835
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-17,0.008333333333333304
CPM-RO-001,avg_cross_asset_corr_24h,Holdout,2026-08-24,-0.06794425087108014
CPM-RO-001,directional_efficiency_24h,Discovery,2026-07-27,0.21505376344086022
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-03,0.6131578947368421
CPM-RO-001,directional_efficiency_24h,Discovery,2026-08-10,0.04613297150610584
CPM-RO-001,directional_efficiency_24h,Holdout,2026-08-10,0.44840116279069764
CPM-RO-001,directional_efficiency_24h,Holdout,2026-08-17,0.12857142857142856
CPM-RO-001,directional_efficiency_24h,Holdout,2026-08-24,0.46271025071405897
