strategy,block_index,block_start_ms,selection_state,event_count,resolved_count,signal_tp1_first,signal_stop_first,neither,ambiguous,net_path_rate
BRF2-001,0,1785456000000,NEAR_THRESHOLD,24,22,13,9,2,0,0.18181818181818182
BRF2-001,0,1785456000000,NOT_SELECTED,11,11,6,5,0,0,0.09090909090909091
BRF2-001,0,1785456000000,SELECTED,102,96,53,43,6,0,0.10416666666666667
BRF2-001,1,1786060800000,NEAR_THRESHOLD,8,7,4,3,1,0,0.14285714285714285
BRF2-001,1,1786060800000,NOT_SELECTED,22,14,6,8,8,0,-0.14285714285714285
BRF2-001,1,1786060800000,SELECTED,100,94,50,44,6,0,0.06382978723404255
BRF2-001,2,1786665600000,NEAR_THRESHOLD,17,14,5,9,3,0,-0.2857142857142857
BRF2-001,2,1786665600000,NOT_SELECTED,22,19,7,12,3,0,-0.2631578947368421
BRF2-001,2,1786665600000,SELECTED,64,61,28,33,3,0,-0.08196721311475409
BRF2-001,3,1787270400000,NEAR_THRESHOLD,18,18,10,8,0,0,0.1111111111111111
BRF2-001,3,1787270400000,NOT_SELECTED,19,18,11,7,1,0,0.2222222222222222
BRF2-001,3,1787270400000,SELECTED,102,102,53,49,0,0,0.0392156862745098
BRF2-001,4,1787875200000,NEAR_THRESHOLD,14,10,7,3,4,0,0.4
BRF2-001,4,1787875200000,NOT_SELECTED,12,11,8,3,1,0,0.45454545454545453
BRF2-001,4,1787875200000,SELECTED,78,61,40,21,17,0,0.3114754098360656
CPM-RO-001,0,1785456000000,NEAR_THRESHOLD,20,13,4,9,7,0,-0.38461538461538464
CPM-RO-001,0,1785456000000,NOT_SELECTED,15,11,4,7,4,0,-0.2727272727272727
CPM-RO-001,0,1785456000000,SELECTED,141,93,56,37,48,0,0.20430107526881722
CPM-RO-001,1,1786060800000,NEAR_THRESHOLD,15,15,6,9,0,0,-0.2
CPM-RO-001,1,1786060800000,NOT_SELECTED,9,9,7,2,0,0,0.5555555555555556
CPM-RO-001,1,1786060800000,SELECTED,144,103,36,67,41,0,-0.30097087378640774
CPM-RO-001,2,1786665600000,NEAR_THRESHOLD,21,19,19,0,2,0,1.0
CPM-RO-001,2,1786665600000,NOT_SELECTED,16,15,13,2,1,0,0.7333333333333333
CPM-RO-001,2,1786665600000,SELECTED,136,125,97,28,11,0,0.552
CPM-RO-001,3,1787270400000,NEAR_THRESHOLD,22,17,12,5,5,0,0.4117647058823529
CPM-RO-001,3,1787270400000,NOT_SELECTED,30,23,17,6,7,0,0.4782608695652174
CPM-RO-001,3,1787270400000,SELECTED,119,89,50,39,30,0,0.12359550561797752
CPM-RO-001,4,1787875200000,NOT_SELECTED,1,1,1,0,0,0,1.0
CPM-RO-001,4,1787875200000,SELECTED,30,27,7,20,3,0,-0.48148148148148145
MI-001,0,1785456000000,NEAR_THRESHOLD,3,3,1,2,0,0,-0.3333333333333333
MI-001,0,1785456000000,SELECTED,10,8,4,4,2,0,0.0
MI-001,1,1786060800000,NEAR_THRESHOLD,1,1,1,0,0,0,1.0
MI-001,1,1786060800000,NOT_SELECTED,1,1,0,1,0,0,-1.0
MI-001,1,1786060800000,SELECTED,14,8,4,4,6,0,0.0
MI-001,2,1786665600000,NOT_SELECTED,1,1,1,0,0,0,1.0
MI-001,2,1786665600000,SELECTED,15,14,10,4,1,0,0.42857142857142855
MI-001,3,1787270400000,NEAR_THRESHOLD,3,3,0,3,0,0,-1.0
MI-001,3,1787270400000,NOT_SELECTED,4,4,1,3,0,0,-0.5
MI-001,3,1787270400000,SELECTED,19,17,7,10,2,0,-0.17647058823529413
MI-001,4,1787875200000,SELECTED,3,3,1,2,0,0,-0.3333333333333333
MPG-001,0,1785456000000,SELECTED,13,8,5,3,5,0,0.25
MPG-001,1,1786060800000,NOT_SELECTED,1,1,0,1,0,0,-1.0
MPG-001,1,1786060800000,SELECTED,18,17,8,9,1,0,-0.058823529411764705
MPG-001,2,1786665600000,SELECTED,15,13,9,4,2,0,0.38461538461538464
MPG-001,3,1787270400000,SELECTED,18,17,11,6,1,0,0.29411764705882354
MPG-001,4,1787875200000,SELECTED,5,5,4,1,0,0,0.6
