strategy,period,evidence_view,cohort,event_count,resolved_count,tp1_first_count,stop_first_count,neither_count,ambiguous_count,tp1_first_rate,stop_first_rate,net_path_rate,median_mfe_signal_r,median_mae_signal_r
BRF2-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,ALL24,298,268,145,123,30,0,0.5410447761194029,0.458955223880597,0.08208955223880597,1.6237244897959184,-1.2816668634163615
BRF2-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,SELECTED,218,204,111,93,14,0,0.5441176470588235,0.45588235294117646,0.08823529411764706,1.8661038148843025,-1.3984536082474226
BRF2-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,NEAR_THRESHOLD,37,31,18,13,6,0,0.5806451612903226,0.41935483870967744,0.16129032258064516,1.4,-0.9428571428571428
BRF2-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,NOT_SELECTED,43,33,16,17,10,0,0.48484848484848486,0.5151515151515151,-0.030303030303030304,1.2,-1.0900473933649288
BRF2-001,Discovery,DYNAMIC_DETECTOR,SELECTED,219,204,111,93,15,0,0.5441176470588235,0.45588235294117646,0.08823529411764706,1.8552845528455284,-1.3969072164948453
BRF2-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,ALL24,315,290,156,134,25,0,0.5379310344827586,0.46206896551724136,0.07586206896551724,1.9367088607594936,-1.6585365853658536
BRF2-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,SELECTED,228,210,113,97,18,0,0.5380952380952381,0.46190476190476193,0.0761904761904762,2.2153623188405795,-1.6803141361256544
BRF2-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,NEAR_THRESHOLD,44,40,21,19,4,0,0.525,0.475,0.05,1.537171052631579,-1.1718579234972677
BRF2-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,NOT_SELECTED,43,40,22,18,3,0,0.55,0.45,0.1,1.716255144032922,-1.775925925925926
BRF2-001,Holdout,DYNAMIC_DETECTOR,SELECTED,228,210,114,96,18,0,0.5428571428571428,0.45714285714285713,0.08571428571428572,2.2153623188405795,-1.6803141361256544
BRF2-001,Full,COUNTERFACTUAL_MEMBERSHIP,ALL24,613,558,301,257,55,0,0.5394265232974911,0.460573476702509,0.07885304659498207,1.7662337662337662,-1.4666666666666666
BRF2-001,Full,COUNTERFACTUAL_MEMBERSHIP,SELECTED,446,414,224,190,32,0,0.5410628019323671,0.45893719806763283,0.0821256038647343,2.011111111111111,-1.5438356164383562
BRF2-001,Full,COUNTERFACTUAL_MEMBERSHIP,NEAR_THRESHOLD,81,71,39,32,10,0,0.5492957746478874,0.4507042253521127,0.09859154929577464,1.4285714285714284,-1.144578313253012
BRF2-001,Full,COUNTERFACTUAL_MEMBERSHIP,NOT_SELECTED,86,73,38,35,13,0,0.5205479452054794,0.4794520547945205,0.0410958904109589,1.2982723577235773,-1.251655789219241
BRF2-001,Full,DYNAMIC_DETECTOR,SELECTED,447,414,225,189,33,0,0.5434782608695652,0.45652173913043476,0.08695652173913043,2.0,-1.5376712328767124
CPM-RO-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,ALL24,361,258,117,141,103,0,0.45348837209302323,0.5465116279069767,-0.09302325581395349,0.6878048780487804,-0.8560885608856088
CPM-RO-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,SELECTED,301,209,95,114,92,0,0.45454545454545453,0.5454545454545454,-0.09090909090909091,0.6878048780487804,-0.8241042345276872
CPM-RO-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,NEAR_THRESHOLD,36,29,11,18,7,0,0.3793103448275862,0.6206896551724138,-0.2413793103448276,0.6297619047619047,-1.4606647447267012
CPM-RO-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,NOT_SELECTED,24,20,11,9,4,0,0.55,0.45,0.1,1.0904780525955617,-0.7892584892584892
CPM-RO-001,Discovery,DYNAMIC_DETECTOR,SELECTED,309,214,97,117,95,0,0.4532710280373832,0.5467289719626168,-0.09345794392523364,0.6870967741935483,-0.8230994152046783
CPM-RO-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,ALL24,358,302,212,90,56,0,0.7019867549668874,0.2980132450331126,0.40397350993377484,1.913365107735081,-0.6728658536585366
CPM-RO-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,SELECTED,269,228,151,77,41,0,0.6622807017543859,0.33771929824561403,0.32456140350877194,1.7902097902097902,-0.6540084388185654
CPM-RO-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,NEAR_THRESHOLD,42,35,30,5,7,0,0.8571428571428571,0.14285714285714285,0.7142857142857143,1.9297708725674827,-0.7173967458715845
CPM-RO-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,NOT_SELECTED,47,39,31,8,8,0,0.7948717948717948,0.20512820512820512,0.5897435897435898,2.443759630200308,-0.8297213622291021
CPM-RO-001,Holdout,DYNAMIC_DETECTOR,SELECTED,276,233,154,79,43,0,0.6609442060085837,0.33905579399141633,0.3218884120171674,1.7746846364842055,-0.6561930491965167
CPM-RO-001,Full,COUNTERFACTUAL_MEMBERSHIP,ALL24,719,560,329,231,159,0,0.5875,0.4125,0.175,1.0337078651685392,-0.7529411764705882
CPM-RO-001,Full,COUNTERFACTUAL_MEMBERSHIP,SELECTED,570,437,246,191,133,0,0.562929061784897,0.43707093821510296,0.12585812356979406,0.9826296857251041,-0.7163308802831061
CPM-RO-001,Full,COUNTERFACTUAL_MEMBERSHIP,NEAR_THRESHOLD,78,64,41,23,14,0,0.640625,0.359375,0.28125,1.2046001161086997,-0.8670983928016431
CPM-RO-001,Full,COUNTERFACTUAL_MEMBERSHIP,NOT_SELECTED,71,59,42,17,12,0,0.711864406779661,0.288135593220339,0.423728813559322,1.41871921182266,-0.8297213622291021
CPM-RO-001,Full,DYNAMIC_DETECTOR,SELECTED,585,447,251,196,138,0,0.5615212527964206,0.43847874720357943,0.12304250559284116,0.9603174603174603,-0.7160493827160493
MI-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,ALL24,33,24,10,14,9,0,0.4166666666666667,0.5833333333333334,-0.16666666666666666,0.6330275229357798,-0.8888888888888888
MI-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,SELECTED,28,19,8,11,9,0,0.42105263157894735,0.5789473684210527,-0.15789473684210525,0.6272707335794436,-0.7955082742316784
MI-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,NEAR_THRESHOLD,4,4,2,2,0,0,0.5,0.5,0.0,0.9612511150758252,-1.009187840290381
MI-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,NOT_SELECTED,1,1,0,1,0,0,0.0,1.0,-1.0,0.056,-1.136
MI-001,Discovery,DYNAMIC_DETECTOR,SELECTED,30,20,8,12,10,0,0.4,0.6,-0.2,0.5981132939506342,-0.7955082742316784
MI-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,ALL24,41,39,20,19,2,0,0.5128205128205128,0.48717948717948717,0.02564102564102564,1.6897233201581028,-1.0585774058577404
MI-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,SELECTED,33,31,18,13,2,0,0.5806451612903226,0.41935483870967744,0.16129032258064516,1.6897233201581028,-0.8157423971377459
MI-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,NEAR_THRESHOLD,3,3,0,3,0,0,0.0,1.0,-1.0,1.2176165803108807,-1.74496644295302
MI-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,NOT_SELECTED,5,5,2,3,0,0,0.4,0.6,-0.2,1.979205421206484,-1.675438596491228
MI-001,Holdout,DYNAMIC_DETECTOR,SELECTED,32,30,17,13,2,0,0.5666666666666667,0.43333333333333335,0.13333333333333333,1.6336815358554488,-0.8927549194991056
MI-001,Full,COUNTERFACTUAL_MEMBERSHIP,ALL24,74,63,30,33,11,0,0.47619047619047616,0.5238095238095238,-0.047619047619047616,0.8974688796680498,-0.9648837209302326
MI-001,Full,COUNTERFACTUAL_MEMBERSHIP,SELECTED,61,50,26,24,11,0,0.52,0.48,0.04,0.88,-0.8157423971377459
MI-001,Full,COUNTERFACTUAL_MEMBERSHIP,NEAR_THRESHOLD,7,7,2,5,0,0,0.2857142857142857,0.7142857142857143,-0.42857142857142855,1.2176165803108807,-1.3973214285714284
MI-001,Full,COUNTERFACTUAL_MEMBERSHIP,NOT_SELECTED,6,6,2,4,0,0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,1.340479903585698,-1.405719298245614
MI-001,Full,DYNAMIC_DETECTOR,SELECTED,62,50,25,25,12,0,0.5,0.5,0.0,0.7816067653276955,-0.8523156430133174
MPG-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,ALL24,36,29,14,15,7,0,0.4827586206896552,0.5172413793103449,-0.034482758620689655,0.9796609438357347,-0.7419578542347098
MPG-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,SELECTED,35,28,14,14,7,0,0.5,0.5,0.0,0.9477611940298508,-0.7281553398058253
MPG-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,NEAR_THRESHOLD,0,0,0,0,0,0,,,,,
MPG-001,Discovery,COUNTERFACTUAL_MEMBERSHIP,NOT_SELECTED,1,1,0,1,0,0,0.0,1.0,-1.0,1.84,-2.42
MPG-001,Discovery,DYNAMIC_DETECTOR,SELECTED,35,28,14,14,7,0,0.5,0.5,0.0,0.9477611940298508,-0.7281553398058253
MPG-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,ALL24,34,32,23,9,2,0,0.71875,0.28125,0.4375,1.5597401065192475,-0.5515776827673933
MPG-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,SELECTED,34,32,23,9,2,0,0.71875,0.28125,0.4375,1.5597401065192475,-0.5515776827673933
MPG-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,NEAR_THRESHOLD,0,0,0,0,0,0,,,,,
MPG-001,Holdout,COUNTERFACTUAL_MEMBERSHIP,NOT_SELECTED,0,0,0,0,0,0,,,,,
MPG-001,Holdout,DYNAMIC_DETECTOR,SELECTED,34,32,23,9,2,0,0.71875,0.28125,0.4375,1.5597401065192475,-0.5515776827673933
MPG-001,Full,COUNTERFACTUAL_MEMBERSHIP,ALL24,70,61,37,24,9,0,0.6065573770491803,0.39344262295081966,0.21311475409836064,1.1648543199832706,-0.6344532755298651
MPG-001,Full,COUNTERFACTUAL_MEMBERSHIP,SELECTED,69,60,37,23,9,0,0.6166666666666667,0.38333333333333336,0.23333333333333334,1.138572905894519,-0.6041666666666666
MPG-001,Full,COUNTERFACTUAL_MEMBERSHIP,NEAR_THRESHOLD,0,0,0,0,0,0,,,,,
MPG-001,Full,COUNTERFACTUAL_MEMBERSHIP,NOT_SELECTED,1,1,0,1,0,0,0.0,1.0,-1.0,1.84,-2.42
MPG-001,Full,DYNAMIC_DETECTOR,SELECTED,69,60,37,23,9,0,0.6166666666666667,0.38333333333333336,0.23333333333333334,1.138572905894519,-0.6041666666666666
