strategy,selection_snapshot_id,effective_from_ms,additions,removals,turnover_fraction
BRF2-001,stage3:BRF2-001:1785456000000,1785459600000,0,0,
BRF2-001,stage3:BRF2-001:1785470400000,1785474000000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1785484800000,1785488400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785499200000,1785502800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785513600000,1785517200000,4,4,0.25
BRF2-001,stage3:BRF2-001:1785528000000,1785531600000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785542400000,1785546000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785556800000,1785560400000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1785571200000,1785574800000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1785585600000,1785589200000,4,4,0.25
BRF2-001,stage3:BRF2-001:1785600000000,1785603600000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785614400000,1785618000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785628800000,1785632400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785643200000,1785646800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785657600000,1785661200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785672000000,1785675600000,4,4,0.25
BRF2-001,stage3:BRF2-001:1785686400000,1785690000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785700800000,1785704400000,4,4,0.25
BRF2-001,stage3:BRF2-001:1785715200000,1785718800000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1785729600000,1785733200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785744000000,1785747600000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1785758400000,1785762000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785772800000,1785776400000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1785787200000,1785790800000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1785801600000,1785805200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785816000000,1785819600000,0,0,0.0
BRF2-001,stage3:BRF2-001:1785830400000,1785834000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785844800000,1785848400000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1785859200000,1785862800000,4,4,0.25
BRF2-001,stage3:BRF2-001:1785873600000,1785877200000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1785888000000,1785891600000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1785902400000,1785906000000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1785916800000,1785920400000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1785931200000,1785934800000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1785945600000,1785949200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1785960000000,1785963600000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1785974400000,1785978000000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1785988800000,1785992400000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786003200000,1786006800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786017600000,1786021200000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786032000000,1786035600000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786046400000,1786050000000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786060800000,1786064400000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786075200000,1786078800000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786089600000,1786093200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786104000000,1786107600000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786118400000,1786122000000,4,4,0.25
BRF2-001,stage3:BRF2-001:1786132800000,1786136400000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786147200000,1786150800000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786161600000,1786165200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786176000000,1786179600000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786190400000,1786194000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786204800000,1786208400000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786219200000,1786222800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786233600000,1786237200000,0,0,0.0
BRF2-001,stage3:BRF2-001:1786248000000,1786251600000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786262400000,1786266000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786276800000,1786280400000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786291200000,1786294800000,5,5,0.3125
BRF2-001,stage3:BRF2-001:1786305600000,1786309200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786320000000,1786323600000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786334400000,1786338000000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786348800000,1786352400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786363200000,1786366800000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786377600000,1786381200000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786392000000,1786395600000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786406400000,1786410000000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786420800000,1786424400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786435200000,1786438800000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786449600000,1786453200000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786464000000,1786467600000,4,4,0.25
BRF2-001,stage3:BRF2-001:1786478400000,1786482000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786492800000,1786496400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786507200000,1786510800000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786521600000,1786525200000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786536000000,1786539600000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786550400000,1786554000000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786564800000,1786568400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786579200000,1786582800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786593600000,1786597200000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786608000000,1786611600000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786622400000,1786626000000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786636800000,1786640400000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786651200000,1786654800000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786665600000,1786669200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786680000000,1786683600000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786694400000,1786698000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786708800000,1786712400000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786723200000,1786726800000,4,4,0.25
BRF2-001,stage3:BRF2-001:1786737600000,1786741200000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786752000000,1786755600000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786766400000,1786770000000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786780800000,1786784400000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786795200000,1786798800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786809600000,1786813200000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786824000000,1786827600000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786838400000,1786842000000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786852800000,1786856400000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786867200000,1786870800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786881600000,1786885200000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786896000000,1786899600000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1786910400000,1786914000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1786924800000,1786928400000,4,4,0.25
BRF2-001,stage3:BRF2-001:1786939200000,1786942800000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786953600000,1786957200000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786968000000,1786971600000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786982400000,1786986000000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1786996800000,1787000400000,4,4,0.25
BRF2-001,stage3:BRF2-001:1787011200000,1787014800000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787025600000,1787029200000,4,4,0.25
BRF2-001,stage3:BRF2-001:1787040000000,1787043600000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787054400000,1787058000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787068800000,1787072400000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787083200000,1787086800000,4,4,0.25
BRF2-001,stage3:BRF2-001:1787097600000,1787101200000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787112000000,1787115600000,4,4,0.25
BRF2-001,stage3:BRF2-001:1787126400000,1787130000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787140800000,1787144400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787155200000,1787158800000,4,4,0.25
BRF2-001,stage3:BRF2-001:1787169600000,1787173200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787184000000,1787187600000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787198400000,1787202000000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787212800000,1787216400000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787227200000,1787230800000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787241600000,1787245200000,6,6,0.375
BRF2-001,stage3:BRF2-001:1787256000000,1787259600000,4,4,0.25
BRF2-001,stage3:BRF2-001:1787270400000,1787274000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787284800000,1787288400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787299200000,1787302800000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787313600000,1787317200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787328000000,1787331600000,4,4,0.25
BRF2-001,stage3:BRF2-001:1787342400000,1787346000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787356800000,1787360400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787371200000,1787374800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787385600000,1787389200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787400000000,1787403600000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787414400000,1787418000000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787428800000,1787432400000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787443200000,1787446800000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787457600000,1787461200000,4,4,0.25
BRF2-001,stage3:BRF2-001:1787472000000,1787475600000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787486400000,1787490000000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787500800000,1787504400000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787515200000,1787518800000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787529600000,1787533200000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787544000000,1787547600000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787558400000,1787562000000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787572800000,1787576400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787587200000,1787590800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787601600000,1787605200000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787616000000,1787619600000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787630400000,1787634000000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787644800000,1787648400000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787659200000,1787662800000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787673600000,1787677200000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787688000000,1787691600000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787702400000,1787706000000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787716800000,1787720400000,4,4,0.25
BRF2-001,stage3:BRF2-001:1787731200000,1787734800000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787745600000,1787749200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787760000000,1787763600000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787774400000,1787778000000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787788800000,1787792400000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787803200000,1787806800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787817600000,1787821200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787832000000,1787835600000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787846400000,1787850000000,0,0,0.0
BRF2-001,stage3:BRF2-001:1787860800000,1787864400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787875200000,1787878800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787889600000,1787893200000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787904000000,1787907600000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787918400000,1787922000000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787932800000,1787936400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787947200000,1787950800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1787961600000,1787965200000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1787976000000,1787979600000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1787990400000,1787994000000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1788004800000,1788008400000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1788019200000,1788022800000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1788033600000,1788037200000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1788048000000,1788051600000,1,1,0.0625
BRF2-001,stage3:BRF2-001:1788062400000,1788066000000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1788076800000,1788080400000,2,2,0.125
BRF2-001,stage3:BRF2-001:1788091200000,1788094800000,2,2,0.125
BRF2-001,stage3:BRF2-001:1788105600000,1788109200000,3,3,0.1875
BRF2-001,stage3:BRF2-001:1788120000000,1788123600000,3,3,0.1875
CPM-RO-001,stage3:CPM-RO-001:1785456000000,1785459600000,0,0,
CPM-RO-001,stage3:CPM-RO-001:1785470400000,1785474000000,2,2,0.125
CPM-RO-001,stage3:CPM-RO-001:1785484800000,1785488400000,2,2,0.125
CPM-RO-001,stage3:CPM-RO-001:1785499200000,1785502800000,2,2,0.125
CPM-RO-001,stage3:CPM-RO-001:1785513600000,1785517200000,3,3,0.1875
CPM-RO-001,stage3:CPM-RO-001:1785528000000,1785531600000,3,3,0.1875
CPM-RO-001,stage3:CPM-RO-001:1785542400000,1785546000000,1,1,0.0625
CPM-RO-001,stage3:CPM-RO-001:1785556800000,1785560400000,2,2,0.125
CPM-RO-001,stage3:CPM-RO-001:1785571200000,1785574800000,2,2,0.125
CPM-RO-001,stage3:CPM-RO-001:1785585600000,1785589200000,2,2,0.125
CPM-RO-001,stage3:CPM-RO-001:1785600000000,1785603600000,3,3,0.1875
CPM-RO-001,stage3:CPM-RO-001:1785614400000,1785618000000,4,4,0.25
CPM-RO-001,stage3:CPM-RO-001:1785628800000,1785632400000,2,2,0.125
CPM-RO-001,stage3:CPM-RO-001:1785643200000,1785646800000,3,3,0.1875
CPM-RO-001,stage3:CPM-RO-001:1785657600000,1785661200000,2,2,0.125
CPM-RO-001,stage3:CPM-RO-001:1785672000000,1785675600000,3,3,0.1875
CPM-RO-001,stage3:CPM-RO-001:1785686400000,1785690000000,1,1,0.0625
CPM-RO-001,stage3:CPM-RO-001:1785700800000,1785704400000,5,5,0.3125
CPM-RO-001,stage3:CPM-RO-001:1785715200000,1785718800000,2,2,0.125
CPM-RO-001,stage3:CPM-RO-001:1785729600000,1785733200000,3,3,0.1875
CPM-RO-001,stage3:CPM-RO-001:1785744000000,1785747600000,4,4,0.25
CPM-RO-001,stage3:CPM-RO-001:1785758400000,1785762000000,2,2,0.125
CPM-RO-001,stage3:CPM-RO-001:1785772800000,1785776400000,2,2,0.125
