strategy,cardinality,block_index,selected_resolved_n,excluded_resolved_n,operational_effect
BRF2-001,8,0,64,65,-0.23076923076923078
BRF2-001,8,1,58,57,0.3297035692679976
BRF2-001,8,2,35,59,0.19176755447941887
BRF2-001,8,3,55,83,0.030668127053669225
BRF2-001,8,4,30,52,-0.01282051282051283
BRF2-001,12,0,83,46,-0.02200104766893661
BRF2-001,12,1,71,44,0.2176696542893726
BRF2-001,12,2,52,42,0.24725274725274723
BRF2-001,12,3,73,65,-0.0665964172813488
BRF2-001,12,4,42,40,-0.11428571428571432
BRF2-001,16,0,96,33,-0.04734848484848485
BRF2-001,16,1,94,21,0.11144883485309016
BRF2-001,16,2,61,33,0.19076005961251863
BRF2-001,16,3,102,36,-0.12745098039215685
BRF2-001,16,4,61,21,-0.11709601873536296
CPM-RO-001,8,0,34,83,-0.13253012048192772
CPM-RO-001,8,1,33,94,0.34945196647324306
CPM-RO-001,8,2,50,109,-0.09137614678899075
CPM-RO-001,8,3,38,91,0.2781954887218045
CPM-RO-001,8,4,14,14,-0.2857142857142857
CPM-RO-001,12,0,53,64,-0.13738207547169812
CPM-RO-001,12,1,57,70,0.44611528822055135
CPM-RO-001,12,2,81,78,0.014245014245014231
CPM-RO-001,12,3,63,66,0.025974025974025955
CPM-RO-001,12,4,17,11,0.04278074866310161
CPM-RO-001,16,0,71,46,-0.06001224739742804
CPM-RO-001,16,1,77,50,0.28311688311688316
CPM-RO-001,16,2,100,59,-0.007118644067796609
CPM-RO-001,16,3,79,50,-0.09012658227848103
CPM-RO-001,16,4,22,6,-0.12121212121212122
MI-001,8,0,7,4,-0.14285714285714285
MI-001,8,1,5,5,-0.4
MI-001,8,2,7,8,0.4642857142857143
MI-001,8,3,16,8,0.625
MI-001,8,4,1,2,-1.0
MI-001,12,0,7,4,-0.14285714285714285
MI-001,12,1,6,4,0.0
MI-001,12,2,9,6,0.7777777777777778
MI-001,12,3,16,8,0.625
MI-001,12,4,2,1,1.0
MI-001,16,0,8,3,0.3333333333333333
MI-001,16,1,8,2,0.0
MI-001,16,2,14,1,-0.5714285714285714
MI-001,16,3,17,7,0.5378151260504201
MI-001,16,4,3,0,
MPG-001,8,0,8,0,
MPG-001,8,1,13,5,-0.4307692307692308
MPG-001,8,2,9,4,-0.16666666666666669
MPG-001,8,3,14,3,-0.8571428571428572
MPG-001,8,4,5,0,
MPG-001,12,0,8,0,
MPG-001,12,1,15,3,-0.5333333333333333
MPG-001,12,2,11,2,0.45454545454545453
MPG-001,12,3,15,2,-0.8
MPG-001,12,4,5,0,
MPG-001,16,0,8,0,
MPG-001,16,1,15,3,-0.5333333333333333
MPG-001,16,2,12,1,-0.6666666666666667
MPG-001,16,3,15,2,-0.8
MPG-001,16,4,5,0,
