strategy,cardinality,period,baseline_event_count,selected_event_count,selected_resolved_count,selected_tp1_first_count,selected_stop_first_count,selected_neither_count,selected_ambiguous_count,selected_tp1_first_rate,selected_stop_first_rate,selected_net_path_rate,excluded_event_count,excluded_resolved_count,excluded_tp1_first_count,excluded_stop_first_count,excluded_neither_count,excluded_ambiguous_count,excluded_tp1_first_rate,excluded_stop_first_rate,excluded_net_path_rate,operational_effect,good_event_capture,bad_event_rejection,opportunity_retention
BRF2-001,16,Discovery,298,218,204,111,93,14,0,0.5441176470588235,0.45588235294117646,0.08823529411764706,80,64,34,30,16,0,0.53125,0.46875,0.0625,0.025735294117647065,0.7655172413793103,0.24390243902439024,0.7315436241610739
BRF2-001,16,Holdout,315,228,210,113,97,18,0,0.5380952380952381,0.46190476190476193,0.0761904761904762,87,80,43,37,7,0,0.5375,0.4625,0.075,0.0011904761904762001,0.7243589743589743,0.27611940298507465,0.7238095238095238
BRF2-001,16,Full,613,446,414,224,190,32,0,0.5410628019323671,0.45893719806763283,0.0821256038647343,167,144,77,67,23,0,0.5347222222222222,0.4652777777777778,0.06944444444444445,0.012681159420289856,0.7441860465116279,0.2607003891050584,0.7275693311582382
BRF2-001,12,Discovery,298,175,167,93,74,8,0,0.5568862275449101,0.4431137724550898,0.11377245508982035,123,101,52,49,22,0,0.5148514851485149,0.48514851485148514,0.0297029702970297,0.08406948479279065,0.6413793103448275,0.3983739837398374,0.587248322147651
BRF2-001,12,Holdout,315,167,154,83,71,13,0,0.538961038961039,0.461038961038961,0.07792207792207792,148,136,73,63,12,0,0.5367647058823529,0.4632352941176471,0.07352941176470588,0.0043926661573720355,0.532051282051282,0.4701492537313433,0.5301587301587302
BRF2-001,12,Full,613,342,321,176,145,21,0,0.5482866043613707,0.4517133956386293,0.09657320872274143,271,237,125,112,34,0,0.5274261603375527,0.47257383966244726,0.05485232067510549,0.04172088804763594,0.584717607973422,0.4357976653696498,0.5579119086460033
BRF2-001,8,Discovery,298,135,130,71,59,5,0,0.5461538461538461,0.45384615384615384,0.09230769230769231,163,138,74,64,25,0,0.5362318840579711,0.463768115942029,0.07246376811594203,0.01984392419175028,0.4896551724137931,0.5203252032520326,0.45302013422818793
BRF2-001,8,Holdout,315,117,112,63,49,5,0,0.5625,0.4375,0.125,198,178,93,85,20,0,0.5224719101123596,0.47752808988764045,0.0449438202247191,0.0800561797752809,0.40384615384615385,0.6343283582089553,0.37142857142857144
BRF2-001,8,Full,613,252,242,134,108,10,0,0.5537190082644629,0.4462809917355372,0.10743801652892562,361,316,167,149,45,0,0.5284810126582279,0.47151898734177217,0.056962025316455694,0.05047599121246993,0.44518272425249167,0.5797665369649806,0.4110929853181077
CPM-RO-001,16,Discovery,361,235,157,75,82,78,0,0.47770700636942676,0.5222929936305732,-0.044585987261146494,126,101,42,59,25,0,0.4158415841584158,0.5841584158415841,-0.16831683168316833,0.12373084442202184,0.6410256410256411,0.41843971631205673,0.6509695290858726
CPM-RO-001,16,Holdout,358,232,192,131,61,40,0,0.6822916666666666,0.3177083333333333,0.3645833333333333,126,110,81,29,16,0,0.7363636363636363,0.2636363636363636,0.4727272727272727,-0.1081439393939394,0.6179245283018868,0.32222222222222224,0.6480446927374302
CPM-RO-001,16,Full,719,467,349,206,143,118,0,0.5902578796561605,0.40974212034383956,0.18051575931232092,252,211,123,88,41,0,0.5829383886255924,0.41706161137440756,0.16587677725118483,0.014638982061136091,0.6261398176291794,0.38095238095238093,0.6495132127955494
CPM-RO-001,12,Discovery,361,175,117,58,59,58,0,0.49572649572649574,0.5042735042735043,-0.008547008547008548,186,141,59,82,45,0,0.41843971631205673,0.5815602836879432,-0.16312056737588654,0.154573558828878,0.49572649572649574,0.5815602836879432,0.48476454293628807
CPM-RO-001,12,Holdout,358,188,154,108,46,34,0,0.7012987012987013,0.2987012987012987,0.4025974025974026,170,148,104,44,22,0,0.7027027027027027,0.2972972972972973,0.40540540540540543,-0.0028080028080028074,0.5094339622641509,0.4888888888888889,0.5251396648044693
CPM-RO-001,12,Full,719,363,271,166,105,92,0,0.6125461254612546,0.3874538745387454,0.22509225092250923,356,289,163,126,67,0,0.5640138408304498,0.4359861591695502,0.12802768166089964,0.09706456926160958,0.5045592705167173,0.5454545454545454,0.5048678720445062
