strategy,cardinality,full_good_event_capture,full_bad_event_rejection,full_opportunity_retention,dynamic_detector_event_retention,discovery_operational_effect,holdout_operational_effect,discovery_clear_adverse,holdout_clear_adverse,persistent_clear_adverse
BRF2-001,16,0.7441860465116279,0.2607003891050584,0.7275693311582382,0.7292006525285482,0.025735294117647065,0.0011904761904762001,False,False,False
BRF2-001,12,0.584717607973422,0.4357976653696498,0.5579119086460033,0.5513866231647635,0.08406948479279065,0.0043926661573720355,False,False,False
BRF2-001,8,0.44518272425249167,0.5797665369649806,0.4110929853181077,0.4078303425774878,0.01984392419175028,0.0800561797752809,False,False,False
CPM-RO-001,16,0.6261398176291794,0.38095238095238093,0.6495132127955494,0.6675938803894298,0.12373084442202184,-0.1081439393939394,False,False,False
CPM-RO-001,12,0.5045592705167173,0.5454545454545454,0.5048678720445062,0.5285118219749653,0.154573558828878,-0.0028080028080028074,False,False,False
CPM-RO-001,8,0.3130699088145897,0.7142857142857143,0.32127955493741306,0.35465924895688455,0.07241762310255462,0.01860841423948223,False,False,False
MI-001,16,0.8666666666666667,0.2727272727272727,0.8243243243243243,0.8378378378378378,0.04210526315789476,0.6612903225806451,False,False,False
MI-001,12,0.7333333333333333,0.45454545454545453,0.6621621621621622,0.7297297297297297,0.05714285714285716,0.6153846153846154,False,False,False
MI-001,8,0.6,0.45454545454545453,0.5540540540540541,0.6351351351351351,-0.13986013986013987,0.2554347826086957,False,False,False
MPG-001,16,0.8648648648648649,0.041666666666666664,0.9142857142857143,0.9571428571428572,-0.41025641025641024,-0.6206896551724138,False,False,False
MPG-001,12,0.8648648648648649,0.08333333333333333,0.8857142857142857,0.9142857142857143,-0.04,-0.6206896551724138,False,False,False
MPG-001,8,0.7567567567567568,0.125,0.7714285714285715,0.8,-0.043478260869565216,-0.6923076923076923,False,False,False
