strategy,cardinality,snapshot_count,mean_turnover,p95_turnover,mean_additions,mean_removals
BRF2-001,16,186,0.14222972972972972,0.25,2.2756756756756755,2.2756756756756755
BRF2-001,12,186,0.20765765765765765,0.3333333333333333,2.4918918918918918,2.4918918918918918
BRF2-001,8,186,0.2918918918918919,0.5,2.3351351351351353,2.3351351351351353
CPM-RO-001,16,186,0.23175675675675675,0.375,3.708108108108108,3.708108108108108
CPM-RO-001,12,186,0.3009009009009009,0.5833333333333334,3.610810810810811,3.610810810810811
CPM-RO-001,8,186,0.3810810810810811,0.75,3.0486486486486486,3.0486486486486486
MI-001,16,744,0.14998317631224764,0.3125,2.3997308209959622,2.3997308209959622
MI-001,12,744,0.2230820995962315,0.4166666666666667,2.676985195154778,2.676985195154778
MI-001,8,744,0.2981157469717362,0.625,2.3849259757738897,2.3849259757738897
MPG-001,16,744,0.06182705248990579,0.125,0.9892328398384926,0.9892328398384926
MPG-001,12,744,0.08882907133243607,0.16666666666666666,1.065948855989233,1.065948855989233
MPG-001,8,744,0.12146702557200538,0.25,0.971736204576043,0.971736204576043
